County,Pop_2010,Religion,Proportion
Beaver County,6629,Religious,0.7762888888889
Box Elder County,49975,Religious,0.90295
Cache County,112656,Religious,0.87746
Carbon County,21403,Religious,0.7994188888889
Daggett County,1059,Religious,0.6562788888889
Davis County,306479,Religious,0.82371
Duchesne County,18607,Religious,0.7807788888889
Emery County,10976,Religious,0.8191488888889
Garfield County,5172,Religious,0.7455488888889
Grand County,9225,Religious,0.5377788888889
Iron County,46163,Religious,0.77486
Juab County,10246,Religious,0.83457
Kane County,7125,Religious,0.6666688888889
Millard County,12503,Religious,0.83012
Morgan County,9469,Religious,0.8962888888889
Piute County,1556,Religious,0.6658088888889
Rich County,2264,Religious,0.87986
Salt Lake County,1029655,Religious,0.73237
San Juan County,14746,Religious,0.5033188888889
Sanpete County,27822,Religious,0.8005188888889
Sevier County,20802,Religious,0.87732
Summit County,36324,Religious,0.57557
Tooele County,58218,Religious,0.87849
Uintah County,32588,Religious,0.71585
Utah County,516564,Religious,0.9095
Wasatch County,23530,Religious,0.6668888888889
Washington County,138115,Religious,0.7566488888889
Wayne County,2778,Religious,0.7861788888889
Weber County,231236,Religious,0.75299
Beaver County,6629,Non.Religious,0.223713984009655
Box Elder County,49975,Non.Religious,0.0970485242621311
Cache County,112656,Non.Religious,0.122541187331345
Carbon County,21403,Non.Religious,0.20057935803392
Daggett County,1059,Non.Religious,0.343720491029273
Davis County,306479,Non.Religious,0.176289403189126
Duchesne County,18607,Non.Religious,0.219218573655076
Emery County,10976,Non.Religious,0.180849125364432
Garfield County,5172,Non.Religious,0.254447022428461
Grand County,9225,Non.Religious,0.462222222222222
Iron County,46163,Non.Religious,0.225137014492126
Juab County,10246,Non.Religious,0.165430411868046
Kane County,7125,Non.Religious,0.333333333333333
Millard County,12503,Non.Religious,0.169879228985044
Morgan County,9469,Non.Religious,0.103706832822896
Piute County,1556,Non.Religious,0.334190231362468
Rich County,2264,Non.Religious,0.120141342756184
Salt Lake County,1029655,Non.Religious,0.267629448698836
San Juan County,14746,Non.Religious,0.496677064966771
Sanpete County,27822,Non.Religious,0.199482423981022
Sevier County,20802,Non.Religious,0.12268051148928
Summit County,36324,Non.Religious,0.424430128840436
Tooele County,58218,Non.Religious,0.121508811707719
Uintah County,32588,Non.Religious,0.284153676199828
Utah County,516564,Non.Religious,0.0905037904306146
Wasatch County,23530,Non.Religious,0.333106672333192
Washington County,138115,Non.Religious,0.243347934692104
Wayne County,2778,Non.Religious,0.213822894168467
Weber County,231236,Non.Religious,0.247007386393122
Beaver County,6629,Assemblies.of.God,0
Box Elder County,49975,Assemblies.of.God,0.0023988888889
Cache County,112656,Assemblies.of.God,0.00262
Carbon County,21403,Assemblies.of.God,0.0011688888889
Daggett County,1059,Assemblies.of.God,0
Davis County,306479,Assemblies.of.God,0.01082
Duchesne County,18607,Assemblies.of.God,0.0067188888889
Emery County,10976,Assemblies.of.God,0
Garfield County,5172,Assemblies.of.God,0
Grand County,9225,Assemblies.of.God,0.00921
Iron County,46163,Assemblies.of.God,0.00214
Juab County,10246,Assemblies.of.God,0
Kane County,7125,Assemblies.of.God,0
Millard County,12503,Assemblies.of.God,0
Morgan County,9469,Assemblies.of.God,0
Piute County,1556,Assemblies.of.God,0
Rich County,2264,Assemblies.of.God,0
Salt Lake County,1029655,Assemblies.of.God,0.0056388888889
San Juan County,14746,Assemblies.of.God,0.00285
Sanpete County,27822,Assemblies.of.God,0
Sevier County,20802,Assemblies.of.God,0.00774
Summit County,36324,Assemblies.of.God,0
Tooele County,58218,Assemblies.of.God,0.00297
Uintah County,32588,Assemblies.of.God,0.01108
Utah County,516564,Assemblies.of.God,0.00071
Wasatch County,23530,Assemblies.of.God,0
Washington County,138115,Assemblies.of.God,0.00091
Wayne County,2778,Assemblies.of.God,0
Weber County,231236,Assemblies.of.God,0.00366
Beaver County,6629,Episcopal.Church,0
Box Elder County,49975,Episcopal.Church,0.0017
Cache County,112656,Episcopal.Church,0.00283
Carbon County,21403,Episcopal.Church,0.00598
Daggett County,1059,Episcopal.Church,0
Davis County,306479,Episcopal.Church,0.00093
Duchesne County,18607,Episcopal.Church,0
Emery County,10976,Episcopal.Church,0
Garfield County,5172,Episcopal.Church,0
Grand County,9225,Episcopal.Church,0.0280788888889
Iron County,46163,Episcopal.Church,0.001
Juab County,10246,Episcopal.Church,0
Kane County,7125,Episcopal.Church,0
Millard County,12503,Episcopal.Church,0
Morgan County,9469,Episcopal.Church,0
Piute County,1556,Episcopal.Church,0
Rich County,2264,Episcopal.Church,0
Salt Lake County,1029655,Episcopal.Church,0.0026
San Juan County,14746,Episcopal.Church,0.012
Sanpete County,27822,Episcopal.Church,0
Sevier County,20802,Episcopal.Church,0
Summit County,36324,Episcopal.Church,0.0072088888889
Tooele County,58218,Episcopal.Church,0.00158
Uintah County,32588,Episcopal.Church,0.0123388888889
Utah County,516564,Episcopal.Church,8.88888889e-05
Wasatch County,23530,Episcopal.Church,0
Washington County,138115,Episcopal.Church,0.0020488888889
Wayne County,2778,Episcopal.Church,0
Weber County,231236,Episcopal.Church,0.00147
Beaver County,6629,Pentecostal.Church.of.God,0
Box Elder County,49975,Pentecostal.Church.of.God,0.0027588888889
Cache County,112656,Pentecostal.Church.of.God,0.0031288888889
Carbon County,21403,Pentecostal.Church.of.God,0
Daggett County,1059,Pentecostal.Church.of.God,0
Davis County,306479,Pentecostal.Church.of.God,0.00066
Duchesne County,18607,Pentecostal.Church.of.God,0.00097
Emery County,10976,Pentecostal.Church.of.God,0
Garfield County,5172,Pentecostal.Church.of.God,0
Grand County,9225,Pentecostal.Church.of.God,0
Iron County,46163,Pentecostal.Church.of.God,0.00446
Juab County,10246,Pentecostal.Church.of.God,0
Kane County,7125,Pentecostal.Church.of.God,0.0013988888889
Millard County,12503,Pentecostal.Church.of.God,0.00224
Morgan County,9469,Pentecostal.Church.of.God,0
Piute County,1556,Pentecostal.Church.of.God,0
Rich County,2264,Pentecostal.Church.of.God,0
Salt Lake County,1029655,Pentecostal.Church.of.God,0.00243
San Juan County,14746,Pentecostal.Church.of.God,0
Sanpete County,27822,Pentecostal.Church.of.God,9e-04
